,Tags_Will revert after reading the email,Total Time Spent on Website,Lead Profile_Potential Lead,Last Notable Activity_SMS Sent,What is your current occupation_Working Professional,Last Activity_SMS Sent,Lead Profile_Unspecified,Lead Origin_Lead Add Form,Tags_Interested in other courses,What is your current occupation_Unemployed,Tags_Ringing,Tags_Closed by Horizzon,Lead Source_Reference,Last Notable Activity_Modified,Tags_switched off,Last Activity_Olark Chat Conversation,City_Unspecified,Lead Profile_Student of SomeSchool,Last Activity_Email Bounced,Do Not Email_Yes,Tags_Lateral student,Specialization_E-COMMERCE,Lead Source_Olark Chat,TotalVisits,Lead Source_NC_EDM,Lead Source_Welingak Website,Last Activity_Form Submitted on Website,Page Views Per Visit,Last Notable Activity_Unreachable,Lead Source_welearnblog_Home,Last Activity_Converted to Lead,Last Notable Activity_Olark Chat Conversation,Tags_In confusion whether part time or DLP,Specialization_Travel and Tourism,Last Activity_View in browser link Clicked,Last Activity_Unreachable,Tags_Lost to Others,Tags_Shall take in the next coming month,Last Activity_Email Link Clicked,Lead Source_Facebook,Last Notable Activity_Email Marked Spam,Lead Source_Others,How did you hear about X Education_Online Search,Lead Origin_Quick Add Form,A free copy of Mastering The Interview_Yes,Last Notable Activity_Email Bounced,Specialization_Healthcare Management,Lead Source_Direct Traffic,Lead Origin_Lead Import,Tags_Want to take admission but has financial problems,Tags_Still Thinking,Last Activity_Visited Booth in Tradeshow,Tags_Not doing further education,What is your current occupation_Student,Tags_Interested  in full time MBA,What is your current occupation_Housewife,Specialization_Unspecified,Tags_wrong number given,Specialization_IT Projects Management,Last Notable Activity_Page Visited on Website,Last Notable Activity_Resubscribed to emails,Tags_Diploma holder (Not Eligible),Last Notable Activity_Unsubscribed,Last Notable Activity_View in browser link Clicked,Lead Source_Social Media,Lead Source_WeLearn,What is your current occupation_Other,Lead Source_Live Chat,City_Thane & Outskirts,Tags_opp hangup,Last Activity_Email Received,Lead Source_youtubechannel,Tags_Busy,Last Activity_Email Opened,Tags_number not provided,Last Activity_Page Visited on Website,Lead Source_Organic Search,Last Activity_Resubscribed to emails,Last Activity_Unsubscribed,Converted
3540,0,-0.8904357737302593,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,-0.9403744201388577,0,0,0,-1.1333837842137178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8867,0,-0.8904357737302593,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.9403744201388577,0,0,0,-1.1333837842137178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3266,0,-0.8904357737302593,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,-0.9403744201388577,0,0,0,-1.1333837842137178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4016,0,1.2842540853346014,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8421908662656745,0,0,0,1.2770875728298379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5462,0,-0.7718494978584338,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1056048342174981,0,0,0,0.3128990300124157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3258,1,1.8680634434728192,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3838613628579513,0,0,0,-0.1691952413962954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6913,0,-0.5492721800682384,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45090822306340833,0,0,0,1.2770875728298379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4203,1,-0.14425443785984987,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1726516944229551,0,0,0,0.7949933014211268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3929,0,1.3316885956833315,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1056048342174981,0,0,0,-0.410242377100651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8707,0,-0.07675148082511846,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.6621178914984045,0,0,0,-0.6512895128050066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
